Number,Answer
1,"Pues ya tenía ya trabajado con con Claudia y siento que ya tiene experiencia, entonces siento que sí le ahora sí que sería una buena opción. Nos haces una gran opción realmente yo lo considero como una gran opción. Y conoce mucho ya ha tenido puestos importantes y tiene experiencia y la verdad, yo no le veo ninguna desventaja como tal, o sea. Verdad, afecte no, no le veo como que esa gran desventaja."
1,"Bueno pues yo como te había mencionado a mí sí me había gustado el trabajo de sheinbaum en la jefatura de gobierno y pues creo que está muy fuerte Morena en la ciudad, o sea creo que va a ganar, creo yo o que mucha gente piensa igual."
1,"Yo creo que sí, por el género tus vivencias y todo lo que ves alrededor, pues puedes detectar cosas que otras personas, no O tienes algunas otras prioridades, Por ejemplo, yo me acuerdo que con sheinbaum uno de los de las cosas que hizo fue esto de implementar los senderos seguros que se llaman camino libres y seguras o algo, así que pues son Calles se iluminadas así al mil, pues para que puedas caminar con menor riesgo, porque no, no lo no lo erradica del todo. Entonces, pues yo creo que este tipo de acciones son cosas que un hombre no hubiera hecho."
1,"Yo pienso que que Claudia pues es la única que pudo haber salido ahí dentro del partido para ser una candidata siento que es la única de ella pienso que la siento más dice títere de Andrés Manuel Dice Siento que debería de empezar a crear sus propios diálogos, sus propias no refiriéndose sobre morena no enfocándose sobre Ay nosotros hablo el anterior partido en los anteriores partidos hicieron, eso no sin enfocarse y decir yo soy sheinbaum y yo voy a decir que voy a bajar la gasolina realmente, entonces cositas Así que sean de su propia idea, no ideas que tienen el partido, sino de ella."
1,"Pues siento que tiene potencial O sea, pues de los tres la que sentía yo que era como que un poquito más preparada por ya los años así de trayectoria que tenía era un poquito más de sheinbaum"
1,"La fortaleza en este caso Bueno más que hablando de los partidos, sino de sheinbaum más que nada es la preparación que tiene No ya que tiene hasta un doctorado en cambios Xóchitl pues lamentablemente no entonces en preparación Pues esta estas Perdón está Pues sí está muchísimo mejor preparada Además de que bueno también en una de sus campañas dijo que iba a cuidar mucho a lo que vendrá siendo las plantas los animales como que toda la la flora y fauna y también en el partido verde se preocupan mucho por Pues sí por por eso no por la flora y fauna."
1," Pues todos decían que mejor más celebrada que porque los años de experiencia que pues vaya, ya había sido jefe de gobierno canciller bueno, toda su trayectoria, pues prácticamente era lo que le ayudaba"
1,"Yo a lo mejor es justo eso que decían que sí se está enfocando mucho en los jóvenes y en la educación de que quieras escuelas y todo eso eso para mí es lo mejor. Y pues yo creo lo ahorita lo que he escuchado de ella Este lo peor Pues sería eso, que yo comentaba que está enfocándose mucho en en las mujeres cuando habla de sus podcast siempre habla mucho de eso de que las mujeres trabajan y eso y o sea, yo para mí eso está súper bien, pero he visto muchos comentarios que ponen de que los hombres ponen y los hombres que Y nosotros que y solo hablas de las mujeres"
1,"Claudia siento que pues nos lideraría no tanto como de todas lo o sea, sino de pues tu apoyo y vamos a hacerlo juntos, no vamos a trabajar codo a codo, no?"
1,"Porque siento que es como una persona más responsable también se lo podría dejar como si no está Claudia muy vecina, se las podría dejar a Jorge pero en Sí sería primero a Claudia porque siento que es más responsable y si me entendería y me ayudaría. "
1, yo estaba decidida por votar por Claudia pero la verdad al estar escuchando el debate y que solo quería estar atacando a Xóchitl Me hizo dudar entonces ahorita estoy entre maines o Claudia pero la verdad me está ganando más miles
1,"Yo creo que si bien es una mujer preparada eso no se puede negar quizás una mujer que se deja llevar mucho por lo que sus mandos le dice. Claro, el presidente."
1," Claudia porque creo que bueno es la que fue Jefa de gobierno Este creo que es la que de un poco sabemos más, pero en particular bueno hablando ya más un contexto global. Creo que la mayoría no sabemos mucho de De los candidatos"
1,"Bueno este de Claudia En lo particular no no le encuentro muchas cosas buenas creo que su mayor fuerte y por lo cual creo que la mayoría de las personas las cuales no hemos no, no han estado tan tan al tanto de lo que ha pasado al país porque desafortunadamente nosotros los mexicanos nos damos cuenta de las cosas cuando nos pasan a nosotros, sino cuando les pasan a las demás personas Bueno lo particular creo que el parte de Claudia es justamente su nivel académico, creo que es de las personas más este. Más preparadas tiene un doctorado tiene diferentes Este pero reconocimientos creo que sí Su mayor fuerte ahora analizando la de fondo la persona que es lo que ha hecho y lo que ha dejado de hacer da mucho que desear de verdad Yo hoy yo. En incitó a que de verdad estudien bien a los a los candidatos, Yo sé que ninguno es lo mejor, pero Claudia de verdad que cómo ha manejado el transporte público, de verdad si si yo soy una persona que va muy recurrente al metro de verdad, es un desastre de verdad sobre todo la línea uno que yo. Utilizo mucho porque por acá vive un familiar y luego me voy con mi familiar y tengo que irme por la línea uno de verdad de verdad es un desastre el metro es un desastre de hecho hasta tardan de verdad He tardado una hora. En el metro parada. "
1,"yo creo que Claudia siento que sería como a la que más me da confianza para dejarle, pues mi casa y que riegue mis plantas siento que sí lo haría, siento que Xóchitl se metería a ver como que encuentra en mi casa como más chismosa."
1,En el caso de sheinbaum. Básicamente su campaña es seguir haciendo lo mismo
1,Yo siento que la mayoría de las personas mayores. su voto es porque ella es de partido de morena y porque está Andrés Manuel López Obrador
1,"a mí me gusta la idea de pensar que una mujer puede tener como una un pensamiento más abierto a la mejor cosas que no han pensado los hombres digamos, puede pensar un poquito más tanto en en cultura en mujeres en educación por lo mismo Pues que que lo vea y que seamos participativa como que en la sociedad no una mujer si bien sabe escuchar y decidir por naturaleza un poco más que el hombre, entonces me entusiasma la idea de de poder ver esto Este cambio que pueda Escuchar más y que realmente lo haga la sociedad Y a partir de ello Pues que pueda implementar nuevas decisiones este que que puedan pues manifestarse y está bien que que sea como pues ni tan joven, ni tan también este digamos tan adulta Pues porque siento que tanto la adultez lleva la experiencia, no la experiencia de saber tratar. ciertos conflictos o cosas y darle solución y aparte también bueno la juventud pues también lleva a relacionarse con temas Pues de innovación de nuevas tecnologías de agregar pues importar varias cosas a México que que le hacen falta y digamos yo digo que Claudia Pues sí está preparada tiene esa experiencia digamos esa madurez y también "
1,"Pues a mí en mi caso me parece una mujer muy muy preparada, o sea creo que por algo es doctora, no la doctora Claudia Este y pues nada, está creo que en su en su este gobierno pues hizo cosas buenas hizo cosas que sí, modificaron un poco al país estas obras como de cable bus Este pero le gusta elevado lo que están haciendo el tren suburbano, que les están alargando para llevar a la hija, Me parece bien. Creo que si tú estuvo un poco manchado su gobierno, pero pues yo yo lo veo desde el punto de vista, que a lo mejor no fue tanto de su parte, no, por ejemplo, esto de metro que pues fue construida por otro. "
1,"Le dio más poder a amlo, la verdad o sea yo nunca sentí que sheinbaum fue la que hiciera las cosas sabes siento que solo iba y ponían su linda cara. y ya este respecto a morena la verdad es que yo nunca fui partidista de él, o sea. mami, a mi papá lo usa mucho la política y él sí lo supera apoyaba y yo este, pues nunca vi claro."
,
2,Creo que los principales problemas puede ser igual la gentrificación subieron los precios demasiado y en colonias que son pues muy abundantes en personas.
2,"Yo digo que porque pues se ha dedicado como a priorizar algunos proyectos sobre todo que tienen que ver con pues la movilidad y ha dejado de lado, pues poniendo el caso más reciente no de la de caída del sistema de transporte colectivo."
