Number,respuesta,sentimiento,tipo,avg_sentimiento,,
1,"Pues yo Bueno yo tenía una ideología casi parecida a la de amlo porque es aparte de que son del mismo partido. Pues dije Pues a lo mejor sí va a generar como que los mismos proyectos. Y pues las los mismos más que nada como que apoyos, o sea, te imaginas como que lo mismo. Pues yo le veía como una persona Sí con un liderazgo, pues alto, pero siento que era buena idea que fuera presidenta porque pues iba a ser la primera mujer ser presidenta aquí en México entonces, pues yo pensaba que iba a generar los mismos proyectos que el presidente que iba a generar las mismas ayudas de hecho anteriormente, pues ella se enfocaba mucho en los Pues en Iztapalapa más que nada con esta Clara pero pues realmente solamente esos así le veía como buena candidata como para ser presidenta.Pues realmente, Ajá realmente Andrés Manuel lanzó, muchas ayudas adultos mayores a madres solteras a estudiantes Y es que estuve eso de los ninis o cosas así. Yo siento que ella está siguiendo como que el mismo patrón pero porque ya O sea ya es Ya está aterrizado, ya está hecho. Y pues yo realmente dije, pues con las ayudas Pues sí de hecho generó varias actividades en el Zócalo para para conciertos y cosas así O sea como para quedarse ganar. a la sociedad Por así decirlo mantenía pues Realizaba mantenimientos en el metro de hecho como que ella estuvo más presente en ciertos problemas, por ejemplo cuando se cayó el metro. Haciendo que ya he estado más este presente en esa cuestión, o sea, como, que es una persona como que no tan es una persona humilde. Pero porque realmente cuando por la vestimenta y por como ha ido a pueblos o cosas así a visitarlos O sea no sea no se ha visto como una persona pues Como te digo. Que diga, ay, no, yo no me para ahí, o sea, yo mando a mi gente, no O sea si hasta eso sí he estado presente como que en ciertas ocasiones. Y pues de los apoyos Pues los ha seguido manteniendo, o sea, prácticamente, pero hay cosas que ya no después de ser presenta ya no como que ya no fue lo mismo.",-0.030741408,real,-0.070763461,,
1,"pues me parecía buena opción sin embargo también como que me causaba un algo como que, o sea sí, me impresionaba que dice Wow Si ella termina como presidente va a ser la primera mujer y todo eso y tiene muy buenas propuestas y todo eso, pero también el hecho que decían Como de que habían muchas cosas como que no estaban tan padres decidiera como un Sí me parece bien, pero también no sé, yo la veía, pasa esto que yo la veía muy muy inteligente A mi parecer. Que fácilmente no sé, podría manipular o algo así, entonces yo decía como de es muy buena se escucha muy buena. Pero estaba como de un punto medio como de sí, no? Sí voté y estaba como la verdad es que sí me gustó mucho trabajo porque Pues básicamente fue mi primera votación entonces yo dije como Ay no sentí como un peso muy responsable así poder Ay no sé como que me sentí muy muy como estresada porque dije es algo muy importante y todo no Entonces yo estaba entre dos y pues sí terminé botando por por Claudia",-0.085993052,real,-0.070763461,,
1,"Este, pues creo que entre los tres postulados que había para la presidencia, la verdad, pues soy estudiante. Hago, hago ciencia con conciencia y con conciencia, hago ciencia, entonces la persona más preparada para mí en ese entonces era Claudia sheinbaum, Claudia sheinbaum, tiene tiene doctorado es de la UNAM es ingeniera. Era una persona muy preparada que tiene artículos de investigación científica. Está Pues inscrita, en el Sistema Nacional de investigadores O sea no no es cualquier persona no es cualquier persona. Sabíamos que era una persona muy preparada una persona muy grande, la verdad, la cual no tiene por qué lidiar con con opiniones muy tontas de la gente ignorante, la verdad de los que opinan mal sin saber ni Qué sigue después de la licenciatura. Ese tipo de gente tan ignorante no puedes tomar una crítica así, entonces yo pensaba muy muy bien de ella. Yo sabía que si llegaba la presidencia había decisiones que no las iba a tomar ella porque el gobierno te orilla a tomar ciertas decisiones. Entonces, pues tiene que también entrarle al aro, es también en su en su cordura en su persona iban a caer mucha responsabilidades, Yo sabía que las iba a confrontar de la mejor manera y pues eso es un poquito el panorama que yo tenía sobre sobre",-0.10341984,real,-0.070763461,,
1,"Pues la verdad es que mis Pues mis este pensamientos hacia ella siempre han sido positivos desde justo que estaba en la propuesta de presidencia de Presidencia Perdón este creo que se me hizo que tenía buena. Buenos puntos para ganarla este aparte, pues que era una persona bueno, que es una persona estudiada. Creo que eso le daba mucho al punto de que justo era a ti como de Pues no te no vamos a tener un cómo se llama Pues otro presidente, no sé corrupto que no sepa ni expresarse como lo fue en su tiempo Enrique Peña Nieto creo que me siento orgulloso de que nos pueda representar como país y pues que haya sido la primera presidenta de México me tenía buenas expectativas Siempre han sido buenas, la verdad.",-0.062899545,real,-0.070763461,,
,,0,real,,,
2,"En mi lo Pues bueno, bueno, Te voy a contar un tema ahorita que se ha estado viendo mucho. Ahorita Bueno por aquí por donde vivo han habido muchos socavones O sea a mí la verdad se me hace como que algo raro. Porque hace tres semanas. Apareció un socavón acá adelantito No ya y después de tres días o otro y ahorita apenas otro también porque se supuestamente. Bueno no más no Supuestamente más bien, pues aquí anteriormente era lago todo lo que era Iztapalapa por Xochimilco y todo eso Entonces pues ya con el tiempo pues lo fue cubriendo la ciudad entonces, pues Supuestamente abajo es pura agua. Y De igual forma, Pues yo creo que por eso también se están haciendo como que esos socavones es un problema, que Pues apenas Está realizando, por qué quién sabe? Yo creo que por lo mismo que porque abajo es pura pura agua. Bueno, de aquí de de donde vivo bueno de mis calles todo eso donde yo recurro sí por por el tráfico. O sea, y más que nada porque hay gente que ya se ha accidentado ahí, o sea se ha metido y que en ese socavones o todo o cosas así o al momento de pasar se hunde Y pues la otra vez hasta había una ambulancia y tardaron tardaron todavía estuvieron horas con este lo que atendían a las personas y en lo que lo tapaba nuevamente No pues yo creo que fácil se echaban como seis horas y como es una Avenida de sentido contrario, No pues había un tráfico terrible. Pues yo creo que el transporte Anteriormente De hecho aquí por donde vivo está la línea doce. Que es la que se cayó. Entonces no siempre fue un terrible desastre entra tráfico y todo eso Entonces yo creo que a todos a todos nos afectaba incluyéndome a mí porque yo antes trabajaba en una empresa allá por Tlalpan no y era, por ejemplo, si normalmente yo me hacía una hora 40 minutos no eran dos horas y media. Y todavía se está generando como que ese problema porque pues como tal el metro, Yo siento que ya no quedo bien. Entonces yo he visto que siempre en las noches normalmente como que hay máquinas, no sé qué tanto le hacen al metro Pero hay como que máquinas este checándolo. De qué quién sabe o igual se No sé siempre en periférico se atora mucho el tráfico igual lo que es luego el alumbrado lo ponen pero pues realmente como aquí se pone un Tianguis este, pues al final de cuenta con el tiempo se van. Como que o sea no le dan mantenimiento a lo que es esa a las lámparas o cosas así. Por la misma situación de que los maltratan ya con el tiempo no dura.",-0.155684054,real,-0.099033229,,
2,"Los problemas como más comunes puedo decir que ahorita por las lluvias las inundaciones en transporte de hecho apenas creo que hubo como un socavón en una de las calles cerca de aquí que impidió demasiado, o sea, el Sí el tránsito de carros y no se podía ni Pasar caminando también, pues obviamente los asaltos y todo eso como que se hace muy común que aquí pues no sé que vengan a tirar cuerpos. Está muy feo, entonces como ese tipo de cosas. No, Sí yo creo diría lo mismo creo que es como la preocupación más de mi mamá, el hecho de que yo salga y todo eso y que me voy a pasar algo o que me vayan a hacer algo o así, entonces sí, porque aquí como que pues sí, hay feminicidio y todo eso aquí que o que te roban por el simplemente ha hecho de ser mujer cosas así. yo creo que sí, el la violencia en cuestión sería el primero porque sí es muy Es muy feo, simplemente salir a la calle o que te estén gritando o que te estén haciendo cosas Pues sí y creo que la violencia es ya el segundo creo que también aquí se da mucho como los grupos de cobradores. y todo eso creo que tengo entendido que son como colombianos, la verdad, no sé sé que vienen mucho como en moto y todo eso como a las tiendas y todo eso yo no tengo, o sea, yo no tengo como tal un local, pero sí, ciertamente Sí he coincido con ellos porque pues obviamente Roman mucho Aquí Entonces el hecho de que te estén cobrando, simplemente por por básicamente comprar cosas así, pues está muy feo también Creo que el el tercero sería eso que Pues obviamente creo que el mantenimiento de las calles que o están muy sucias o o que pues simplemente el socavón, las lluvias que se inunda todo y todo eso. Creo que así lo enumeraría.",-0.061281651,real,-0.099033229,,
2,"Pues bueno, pues creo que pues una de esas es inseguridad. Ya me supongo que pues bueno en seguridad es algo que está en todos lados. Esa es una contaminación contaminaciones. Otra luego dejan basura en la calle, hay un mercado al cual aquí por mi casa. El cual no se le da este, pues sí, no, no se mantiene limpio ni nada. Luego tienen que dejar la basura afuera del mercado en la calle y pasar ahí ver la calle completa, llena de basura, o sea, ese es otro tema. Qué otra cosa puede ser? hí se se escriben en cualquier situación y pues se ha llegado a comentar de que algún asalto algún Este sí, algún robo a mano armada. Este cositas, así se han llegado a comentar también Pues en las noticias, ha salido de que no, el único no, no total en mi colonia, pero sí que en la alcaldía Miguel Hidalgo acaba de haber un robo O tal cosa entonces ese tema. El tema de la contaminación pues ya ya te lo conté y pues.",-0.120022073,real,-0.099033229,,
2,"Pues la seguridad creo que siempre ha sido el tema, ha mejorado ha ido mejorando, no me quejo pero pues como todo no este, pues son Hay muchas vecindades en donde yo vivo. Entonces, pues ya sabes, no comercialización de este sustancias indebidas o que ya te tienes que andar cuidando de este del otro porque pues ya sabe las mañas de la gente Este creo que ese es el tema Como de que me inquieta más la seguridad. Pero de ahí en fuera, pues pues creo que es algo superficial en sí, Lo las la seguridad es lo que podría inquietar más. Este me han intentado la verdad es que no gracias a Dios nunca, pero sí pues eh Pues como siempre ando así como a las vivas Pues así como ojeando y todo ese tipo de cosas, pues sí me doy cuenta que ya me vienen siguiendo entonces, pues ya mejor me tengo que pedir no sé un Uber o algo rápido para irme o meterme entre calles, qué sé yo.  pero creo que eso es como creo que ya todos nos está pasando lo del agua. Que a veces ves que la cortan o las tuberías la cierran eso, pero es como pues una vez cada tres meses cada dos meses, o sea, es un poco tedioso, pero no en seguido Entonces eso podría afectarme también un poco.",-0.059145138,real,-0.099033229,,
,,0,real,,,
