Number,respuesta,sentimiento,tipo,avg_sentimiento
1,"Pues ya tenía ya trabajado con con Claudia y siento que ya tiene experiencia, entonces siento que sí le ahora sí que sería una buena opción. Nos haces una gran opción realmente yo lo considero como una gran opción. Y conoce mucho ya ha tenido puestos importantes y tiene experiencia y la verdad, yo no le veo ninguna desventaja como tal, o sea. Verdad, afecte no, no le veo como que esa gran desventaja.",-0.144782677,real,-0.040011539
1,"Bueno pues yo como te había mencionado a mí sí me había gustado el trabajo de sheinbaum en la jefatura de gobierno y pues creo que está muy fuerte Morena en la ciudad, o sea creo que va a ganar, creo yo o que mucha gente piensa igual.",-0.001726374,real,-0.040011539
1,"Yo creo que sí, por el género tus vivencias y todo lo que ves alrededor, pues puedes detectar cosas que otras personas, no O tienes algunas otras prioridades, Por ejemplo, yo me acuerdo que con sheinbaum uno de los de las cosas que hizo fue esto de implementar los senderos seguros que se llaman camino libres y seguras o algo, así que pues son Calles se iluminadas así al mil, pues para que puedas caminar con menor riesgo, porque no, no lo no lo erradica del todo. Entonces, pues yo creo que este tipo de acciones son cosas que un hombre no hubiera hecho.",-0.049932368,real,-0.040011539
1,"Yo pienso que que Claudia pues es la única que pudo haber salido ahí dentro del partido para ser una candidata siento que es la única de ella pienso que la siento más dice títere de Andrés Manuel Dice Siento que debería de empezar a crear sus propios diálogos, sus propias no refiriéndose sobre morena no enfocándose sobre Ay nosotros hablo el anterior partido en los anteriores partidos hicieron, eso no sin enfocarse y decir yo soy sheinbaum y yo voy a decir que voy a bajar la gasolina realmente, entonces cositas Así que sean de su propia idea, no ideas que tienen el partido, sino de ella.",-0.118843988,real,-0.040011539
1,"Pues siento que tiene potencial O sea, pues de los tres la que sentía yo que era como que un poquito más preparada por ya los años así de trayectoria que tenía era un poquito más de sheinbaum",0.004922755,real,-0.040011539
1,"La fortaleza en este caso Bueno más que hablando de los partidos, sino de sheinbaum más que nada es la preparación que tiene No ya que tiene hasta un doctorado en cambios Xóchitl pues lamentablemente no entonces en preparación Pues esta estas Perdón está Pues sí está muchísimo mejor preparada Además de que bueno también en una de sus campañas dijo que iba a cuidar mucho a lo que vendrá siendo las plantas los animales como que toda la la flora y fauna y también en el partido verde se preocupan mucho por Pues sí por por eso no por la flora y fauna.",-0.147757202,real,-0.040011539
1," Pues todos decían que mejor más celebrada que porque los años de experiencia que pues vaya, ya había sido jefe de gobierno canciller bueno, toda su trayectoria, pues prácticamente era lo que le ayudaba",0.14844887,real,-0.040011539
1,"Yo a lo mejor es justo eso que decían que sí se está enfocando mucho en los jóvenes y en la educación de que quieras escuelas y todo eso eso para mí es lo mejor. Y pues yo creo lo ahorita lo que he escuchado de ella Este lo peor Pues sería eso, que yo comentaba que está enfocándose mucho en en las mujeres cuando habla de sus podcast siempre habla mucho de eso de que las mujeres trabajan y eso y o sea, yo para mí eso está súper bien, pero he visto muchos comentarios que ponen de que los hombres ponen y los hombres que Y nosotros que y solo hablas de las mujeres",0.021823652,real,-0.040011539
1,"Claudia siento que pues nos lideraría no tanto como de todas lo o sea, sino de pues tu apoyo y vamos a hacerlo juntos, no vamos a trabajar codo a codo, no?",-0.040920801,real,-0.040011539
1,"Porque siento que es como una persona más responsable también se lo podría dejar como si no está Claudia muy vecina, se las podría dejar a Jorge pero en Sí sería primero a Claudia porque siento que es más responsable y si me entendería y me ayudaría. ",-0.054696985,real,-0.040011539
1, yo estaba decidida por votar por Claudia pero la verdad al estar escuchando el debate y que solo quería estar atacando a Xóchitl Me hizo dudar entonces ahorita estoy entre maines o Claudia pero la verdad me está ganando más miles,-0.021661632,real,-0.040011539
1,"Yo creo que si bien es una mujer preparada eso no se puede negar quizás una mujer que se deja llevar mucho por lo que sus mandos le dice. Claro, el presidente.",-0.0446776,real,-0.040011539
1," Claudia porque creo que bueno es la que fue Jefa de gobierno Este creo que es la que de un poco sabemos más, pero en particular bueno hablando ya más un contexto global. Creo que la mayoría no sabemos mucho de De los candidatos",-0.027272716,real,-0.040011539
