Number,Answer,,,,,,,,,,,,
1,"Lo que es Claudia Pues sí la veo muy preparadas y tiene mucho apoyo del presidente, Sí le están invirtiendo mucho la campaña, pero no me inspira",,,,,,,,,,,,
1,"Pues porque es la discípula, así la veo como la discípula de de López Obrador y y pues que hace todo lo que el Esta que está siguiendo la misma línea, verdad de muchas cosas como como habla como dice como contesta así así la veo.",,,,,,,,,,,,
1," Creo que es una señora muy estudiada Más sin embargo, pienso que es una muy mala copia de su jefe. Creo que perdió su esencia desde hace muchos años por tratar de mimetizarse con el presidente con el fin de pues poder llegar a ganar estas elecciones en general,",,,,,,,,,,,,
1,"Tener tener un alto grado de estudios es una fortaleza siempre y cuando los utilices. Para tu adecuado y correcto correcta función de de tus actividades, pero en este caso, pues yo digo de qué sirve tener o no tener un alto grado de estudios, si lo que vas a hacer es básicamente ser un mandadero del jefe o un títere del jefe.",,,,,,,,,,,,
1,"Es que sabes que que Claudia Se me figura mucho a la escuela de López Obrador O sea, como que ella siempre está en la política desde muy no sé si has escuchado su historia Este pero este es alguien que desde muy chica ha estado la política y ha estado en movimientos políticos y entonces Se me figura que sabe Mucho Este pero se me figura que es como de la escuela de López Obrador Bueno de hecho López Obrador pues la apoya no. ",,,,,,,,,,,,
1,"Pienso que que Claudia es un es muy una mujer muy preparada y en base a esta persona nueva. Yo creo que Híjole sí le va a faltar como para competir contra no sé Xóchitl no la conozco y es lo único que he escuchado son cosas malas de ella, pero Claudia de Claudia no este no, no sé todavía no estoy segura Por quién voy a votar, ",,,,,,,,,,,,
1,"A mí se me hace una persona muy culta. O sea, muy culta muy O sea sí, se me hace conservadora, se me hace muy profesional, este se me hace que lucha por lo que quiere este. Y así es mi percepción de  pues me gusta es que es una persona preparada tiene preparación sabe tiene mucho conocimiento.",,,,,,,,,,,,
1,Acuérdate que en campaña este los candidatos ofrecen muchas cosas y este si ella se porta bien con con gente que necesita una despensa que necesita dinero. Y por ahí les llega Por eso votarían por ella Acuérdate que también pensábamos lo mismo de Peña Nieto y que va de presidente entonces también las necesidades del pueblo este son canijas y al final quien me da Pues o el quien me ayudas porque yo veo y por quién voto también.,,,,,,,,,,,,
1,"Claudia pues Se me figura una persona pacífica Haz de cuenta que tiene un centro de yoga y ok de este como zen, o sea, todo así como muy padre, pero muy bonito lugar. Es una persona que le va muy bien, pero que no aparenta tener esa posición porque es sencilla, vaya es mi percepción, no de las tres.",,,,,,,,,,,,
1,"Lo que he visto de Claudia es que sus propuestas a mí me preocupa que que continúe con lo que estamos viviendo en este momento. Que evidentemente no me gusta que no me parece que no me convencen lo absoluto. de las propuestas que tiene siento que Es su único interés, es continuar con este poder y estas malas prácticas de política pública que ha tenido el gobierno actual. ",,,,,,,,,,,, 
1,"Para mí Claudia Híjole yo pienso que va a ganar. No estoy a favor, no me gustaría que ganara, pero yo pienso que va a ganar, tiene mucho apoyo, tiene una campaña hecha por nuestro presidente desde hace mucho tiempo. y Y sí es cierto en el en el debate estuvo exageradamente Serena ",,,,,,,,,,,,
1,"Pues trae todo el apoyo del presidente, no, pero descarado es un apoyo descarado hacia hacia Claudia esa principalmente y dos creo que otra cosa muy fuerte que morena este como que lo ha querido identificar con ellos y No necesariamente es de ellos, son los apoyos sociales, no O sea toda la cuestión del del repartir dinero a la gente mayor, etcétera A los que no trabajan todo eso, eso es es algo que que arrastra es algo muy clientelar, vaya y y identificado con morena, eso que no necesariamente quiere decir que el pan pri, PRD o otro partido lo pueda continuar, no, pero se tiene esa creencia Y creo que eso es algo que les da mucha mucha fuerza.",,,,,,,,,,,,
1,"Todos preocupados, la verdad muy muy preocupado estos seis años fueron puede decir que terribles en tanto en seguridad en lo que viene siendo en lo que ha hecho el presidente que realmente no ha hecho nada Dice que hace pero pues no hace entonces pues ahorita pues se puede decir que se votará por el menos peor. O sea, Claudia es un títere no es un títere del del de este del presidente ",,,,,,,,,,,,
1,"Pues Claudia pues es igual una persona muy abierta, tiene mucha mucha muy preparada es doctor igual que Samuel Entonces yo creo que va a haber muchos cambios positivos y va a haber buen acercamiento entre ambos mandados.",,,,,,,,,,,,
